日期,SKU,類型,來源倉,目的倉,數量,對應事件,登錄人,備註
2023-06-01,C304,入庫,,LK,500,上任遺留,前任助理,舊批次待決議
2025-12-10,A103,入庫,,XL,2000,印廠到貨,Amy,
2025-12-10,B201,入庫,,XL,500,印廠到貨,Amy,
2025-12-12,C301,入庫,,XL,1000,印廠到貨,Amy,
2026-01-05,A103,調撥,XL,OF,1800,加工打包,Amy,
2026-01-05,B201,調撥,XL,OF,450,加工打包,Amy,
2026-01-05,C301,調撥,XL,OF,900,加工打包,Amy,
2026-01-20,A103,出庫,OF,,1200,2026冬令營,Amy,1500人×80%
2026-01-20,B201,出庫,OF,,85,2026冬令營,Amy,
2026-01-20,C301,出庫,OF,,85,2026冬令營,Amy,
2026-02-20,A103,調撥,OF,SK,550,殘量回收,Bella,
2026-02-20,A103,調撥,XL,LK,200,殘量清倉,Bella,
2026-02-20,B201,調撥,OF,SK,350,殘量回收,Bella,
2026-02-20,B201,調撥,XL,LK,50,殘量清倉,Bella,
2026-02-20,C301,調撥,OF,LK,800,殘量回收,Bella,
2026-02-20,C301,調撥,XL,LK,100,殘量清倉,Bella,
2026-03-01,A101,入庫,,SK,1500,期初盤點,Bella,2025暑期後回收
2026-03-01,A102,入庫,,SK,500,期初盤點,Bella,偏低需補印
2026-03-01,A104,入庫,,SK,1800,期初盤點,Bella,
2026-03-01,B202,入庫,,SK,300,期初盤點,Bella,
2026-03-01,B203,入庫,,LK,450,期初盤點,Bella,停產待決議
2026-03-01,C302,入庫,,SK,2000,期初盤點,Bella,
2026-03-01,C303,入庫,,LK,1200,期初盤點,Bella,
2026-04-10,A101,出庫,SK,,120,4月官網團購,Amy,
2026-04-12,A102,出庫,SK,,80,4月官網團購,Amy,
